Artist,Genres,Popularity,Followers
At the Drive-In,post-hardcore; emo,44,357606
At The Gates,melodic death metal; death metal; metal,47,276618
At Vance,power metal; neoclassical; speed metal; symphonic metal,35,59921
Atheist,death metal; progressive metal; thrash metal; grindcore,29,82082
ATL,acid house,48,470786
Atmosphere,underground hip hop; alternative hip hop,55,693738
Atoms For Peace,,36,247675
Atreyu,metalcore; screamo,57,1031458
Atrium Carceri,dark ambient; ambient; drone,40,42730
Attila,deathcore; metalcore; rap metal; metal; screamo,48,511213
Audioslave,grunge; post-grunge; alternative metal,69,5128379
August Burns Red,metalcore; metal; deathcore; djent; post-hardcore; screamo,50,766218
Auktyon,art rock,37,51377
Autechre,idm; glitch; experimental; electronic; ambient,42,262623
Avantasia,power metal; symphonic metal; metal,51,494875
Avenged Sevenfold,metal; alternative metal,75,11701498
Avril Lavigne,,75,11977641
Awakening Sun,melodic death metal; thrash metal; groove metal; deathcore; djent,10,5541
AWOLNATION,,60,2061208
Axel Rudi Pell,power metal; heavy metal; arena rock; hard rock,42,140028
Axxis,power metal; heavy metal,30,51713
Ayreon,progressive metal; progressive rock; symphonic metal; power metal; metal,42,170079
Azu Tiwaline,dub techno,18,9257
Babe Ruth,progressive rock; breakbeat,29,24201
Baby Strange,,16,15229
Backyard Babies,punk,34,80076
Bad Company,classic rock; aor; southern rock; hard rock,58,1357361
Bad Omens,metalcore,73,1951644
Bad Religion,punk; skate punk; hardcore punk; melodic hardcore; ska punk,59,1381223
Bad Sector,dark ambient; space music; drone; idm; industrial; ambient,6,3743
Bad Wolves,metal,62,887430
BADBADNOTGOOD,,61,876927
Balmorhea,post-rock,47,183316
BANKS,,55,1078701
bar italia,lo-fi indie,44,79900
Barclay James Harvest,progressive rock; art rock,42,182265
Barker,dub techno; idm; ambient,36,32337
Barock Project,progressive rock; art rock; progressive metal,18,9518
Baroness,sludge metal; stoner metal; stoner rock; progressive metal; doom metal,41,283882
Barren Earth,melodic death metal; progressive metal; doom metal; death metal,13,18916
Basic Channel,dub techno; minimal techno; idm; techno; dub,26,37515
Basta,,58,1789121
Bat For Lashes,art pop; dream pop,43,387598
Bathory,black metal; metal; folk metal,46,487590
Battle Beast,power metal; symphonic metal; metal,54,290724
Bauhaus,gothic rock; post-punk; deathrock; darkwave; cold wave; new wave,53,1050346
Baxter Dury,,51,148207
Be'lakor,melodic death metal; death metal; progressive metal; metal,37,128106
Beach House,dream pop,71,2788452
Beak>,krautrock; space rock,31,89050
Beardfish,progressive rock; progressive metal; art rock,19,25221
Beartooth,metalcore; post-hardcore,57,878048
Beast In Black,power metal; symphonic metal; metal,58,378610
Beastie Boys,rap rock; old school hip hop; east coast hip hop; hip hop,66,3153630
Beborn Beton,ebm; synthpop; industrial; darkwave,24,22185
Beck,anti-folk,63,1712568
Becoming The Archetype,christian rock; metalcore; deathcore,27,50128
Bee Gees,disco,75,9303980
Been Stellar,,37,38705
Before The Dawn,melodic death metal; death metal; gothic metal; metal; doom metal,35,67385
Behemoth,black metal; death metal; metal,48,712084
Being As An Ocean,melodic hardcore; post-hardcore; metalcore; spoken word; hardcore,38,181764
Belle and Sebastian,baroque pop,54,712526
Ben Chatwin,drone; ambient,25,5623
Ben Frost,drone; dark ambient; ambient; experimental,28,70126
Benediction,death metal; grindcore; metal,33,99561
Beseech,gothic metal; doom metal; gothic rock; symphonic metal; drone metal,27,30061
betcover!!,art rock; japanese indie; shibuya-kei; j-rock,40,78969
Beth Gibbons,,44,200912
Beth Hart,blues; blues rock; modern blues,51,476033
"Beth Hart, Joe Bonamassa",blues; blues rock; modern blues; soul blues,46,46977
Betraying The Martyrs,metalcore; deathcore; djent; metal,31,154725
Better Lovers,mathcore; metalcore,37,69110
Between The Buried And Me,progressive metal; djent; mathcore; metal; metalcore; progressive rock,48,292658
BICEP,,58,630846
Biffy Clyro,,61,760244
Big Big Train,progressive rock; progressive metal; art rock,25,38467
Big Thief,,69,1315089
BIG|BRAVE,drone metal; sludge metal; drone; doom metal; noise rock,17,27131
Bill Evans,jazz; cool jazz; bebop; hard bop,61,773269
Billie Eilish,,90,118237914
Billy Idol,,70,2445773
Billy Joel,soft rock,78,7367489
Billy Talent,punk,62,1331902
billy woods,experimental hip hop; alternative hip hop; east coast hip hop; experimental; underground hip hop,49,156431
Billy's Band,,13,10189
Biohazard,rap metal; hardcore; groove metal; hardcore punk; rap rock; alternative metal,42,219632
Biopsyhoz,industrial metal; industrial rock; industrial; ebm,10,3612
Biosphere,ambient; drone; idm; dark ambient; space music,39,103401
Bipolar Architecture,post-rock; black metal,9,4581
Birds in Row,screamo; melodic hardcore; mathcore; post-hardcore; hardcore punk; hardcore,29,49551
Bitcrush,post-rock; idm; ambient; drone,5,2936
Björk,art pop; trip hop,62,2435844
