Artist,Genres,Popularity,Followers
Electric Wizard,stoner metal; sludge metal; doom metal; drone metal; drone,46,397827
Elias Rønnenfelt,,53,21723
Ellen Allien,acid techno; techno; minimal techno; electroclash; idm,33,184004
Elliott Smith,singer-songwriter,64,1341375
Eloy,reggaeton,59,57797
Elton John,,80,15487168
Eluveitie,folk metal; symphonic metal; melodic death metal; medieval metal; power metal; celtic; metal; celtic rock; medieval; folk,53,614896
Elvenking,power metal; folk metal; symphonic metal; medieval metal; metal,40,124916
Elvis Costello,power pop,52,602685
Elvis Costello & The Attractions,new wave; power pop,48,314987
Emancipator,trip hop; downtempo; chillstep,52,409351
"Emerson, Lake & Palmer",progressive rock; art rock,52,1150826
Emigrate,industrial metal; industrial rock; industrial,42,234605
Eminem,rap; hip hop,88,104205843
Emma Ruth Rundle,sludge metal; doom metal; drone metal,39,139317
Empire Of The Sun,,77,1999666
Employed To Serve,mathcore; metalcore,28,46689
End Of Green,gothic metal; gothic rock; doom metal,23,19255
Enrico Sangiuliano,techno; minimal techno; acid techno; tekno,51,212978
Ensiferum,folk metal; melodic death metal; power metal; metal; medieval metal; folk; symphonic metal,44,340874
Enslaved,black metal; progressive metal; metal; folk metal; norsk rock,35,172915
Enter Shikari,post-hardcore; metalcore,53,492452
Entwine,gothic metal; gothic rock; finnish rock; doom metal,29,35398
envy,screamo; post-rock; post-hardcore; melodic hardcore; mathcore,26,58103
Epic45,post-rock; ambient,19,15895
Epica,symphonic metal; gothic metal; power metal; metal; folk metal; gothic rock,54,973403
Erasure,synthpop; new wave,61,1183332
Eric Clapton,blues; blues rock; classic rock,70,6554083
Erik Truffaz,nu jazz; french jazz; jazz; jazz fusion; acid jazz,37,64558
ETOLUBOV,,35,47418
Europe,glam metal,63,1966325
Eurythmics,new wave; synthpop,67,2323146
Evanescence,alternative metal,74,6104681
Evergrey,progressive metal; power metal; metal; progressive rock,38,121038
Every Time I Die,mathcore; metalcore; hardcore; post-hardcore; hardcore punk,43,244711
Everything Everything,,48,302728
Exit North,,26,4975
Exodus,thrash metal; speed metal; metal; groove metal; heavy metal,49,855219
Exotic Animal Petting Zoo,mathcore; post-hardcore; progressive metal; djent,11,9611
Explosions In The Sky,post-rock,47,667840
Exxasens,post-rock; space rock; math rock,26,18550
Eyes Set To Kill,post-hardcore; screamo; metalcore,38,276292
Ezra Collective,jazz rap; nu jazz; indie soul,58,376551
FACS,noise rock; post-punk,16,12883
Faith No More,funk rock; alternative metal; rap metal; grunge,60,1939538
Fall Out Boy,emo; pop punk,77,11397335
Falling In Reverse,emo; rap metal,74,4258316
Fallujah,death metal; progressive metal; djent; deathcore; melodic death metal; metal,35,95375
Famous Last Words,metalcore; post-hardcore; screamo,37,127407
Fani Konstantinidou,drone; dark ambient,0,108
Fantastic Negrito,southern gothic; modern blues; blues rock; blues,42,205053
Farmer Boys,,2,209
Fatboy Slim,big beat,62,1401548
Fates Warning,progressive metal; progressive rock; metal; power metal; heavy metal,29,91141
Faun,medieval; medieval metal; celtic; folk metal; folk,51,417773
Fear Factory,industrial metal; groove metal; industrial rock; industrial; nu metal; metal; rap metal; alternative metal,51,745088
FEARSTbeats,,30,6814
Feed Her to the Sharks,metalcore; deathcore; post-hardcore,30,53999
Feeder,britpop,50,250731
Feuerschwanz,medieval metal; medieval; folk metal; folk rock; power metal,52,235832
FEVER 333,rap metal; rap rock,50,285713
Fever Ray,,49,490815
FGFC820,ebm; industrial; industrial metal; darkwave,25,22839
Fields Of The Nephilim,gothic rock; deathrock; darkwave; post-punk; gothic metal; cold wave,35,138252
Fires in the Distance,melodic death metal; doom metal; death metal,19,17020
Fit For A King,metalcore; christian rock; deathcore; metal; djent,57,484622
Fit For An Autopsy,deathcore; death metal; metalcore; metal; djent,48,258880
Five Finger Death Punch,metal; groove metal; heavy metal; hard rock; rock,71,6910918
FKA twigs,art pop; alternative r&b,63,1438112
Fleetwood Mac,classic rock; yacht rock; soft rock,83,13904657
Fleshgod Apocalypse,death metal; symphonic metal; melodic death metal; metal; deathcore,41,217942
Floating Points,idm; gnawa,48,390166
Florence + The Machine,baroque pop,76,7203364
Flotsam & Jetsam,thrash metal; speed metal; groove metal; metal; heavy metal,32,120333
Flume,future bass,68,2507116
Flying Colors,progressive rock; progressive metal,29,63756
Flying Lotus,idm; experimental hip hop; nu jazz; glitch,51,829440
Flëur,,42,189450
Foals,indie,61,1460236
Followed By Ghosts,post-rock,10,7543
Fontaines D.C.,post-punk,70,1122463
Foo Fighters,rock; post-grunge; alternative rock; grunge,75,12917848
For I Am King,melodic death metal; deathcore; metalcore,18,14426
For The Fallen Dreams,metalcore; melodic hardcore; post-hardcore; deathcore; hardcore,32,125397
Foreigner,aor; classic rock,71,3814382
Forest Swords,idm,33,106195
Fort Minor,rap rock,59,704045
Foster The People,,70,4020990
Four Tet,idm; electronica,59,798686
Foxing,midwest emo; emo; math rock,42,141387
Frail Body,screamo; mathcore; post-hardcore,22,24426
Frank Carter & The Rattlesnakes,,43,221595
Frank Duval,,31,17158
Frankie and the Witch Fingers,psychedelic rock; neo-psychedelic; garage rock; acid rock,38,71611
Franz Ferdinand,indie rock,68,2981285
Freddie Mercury,,57,7007676
Fredrika Stahl,french jazz,36,21323
French TV,progressive rock; art rock; avant-garde,0,917
Friko,,29,32978
From Autumn To Ashes,post-hardcore; screamo; metalcore; emo,39,161201
Front 242,ebm; industrial; industrial rock; darkwave; industrial metal; new wave; cold wave; synthpop,37,164984
Front Line Assembly,industrial; ebm; industrial metal; industrial rock; darkwave,34,102309
Frost*,progressive rock; progressive metal; art rock,26,32723
Froukje,nederpop,55,117370
Fuck Buttons,idm; post-rock,23,61816
Fugazi,post-hardcore; punk; noise rock; hardcore punk,53,682663
Funeral For A Friend,post-hardcore; screamo; emo,44,257414
Funker Vogt,ebm; industrial; darkwave; industrial metal; industrial rock; synthpop,29,47452
Fur Coat,melodic techno; melodic house; minimal techno,27,35258
Future Islands,,58,660156
Fuzz Against Junk,latin jazz,1,443
Gamma Ray,power metal; speed metal; metal; heavy metal; symphonic metal,41,307891
Gang of Youths,,53,418091
Garbage,,58,1327617
Gazpacho,progressive rock; art rock; progressive metal,27,57330
Geddy Lee,progressive rock,28,41452
Geese,,64,160297
Genesis,progressive rock; art rock,69,3728604
Genghis Tron,mathcore; grindcore,17,33974
Gentle Giant,progressive rock; art rock; krautrock,38,249829
Ghost,metal; hard rock,73,3754873
GHØSTKID,metalcore; deathstep,38,87279
Gilla Band,noise rock; post-punk; industrial rock,28,75745
Glass Animals,,73,4559281
Glassjaw,post-hardcore; screamo; mathcore,46,173656
Glen Hansard,,50,358332
Goat,neo-psychedelic; psychedelic rock; space rock; stoner rock,40,156361
God Is An Astronaut,post-rock; space rock; math rock,42,290005
God Module,ebm; industrial; darkwave; industrial metal,28,41096
Godflesh,industrial metal; industrial; industrial rock; sludge metal; drone metal; noise rock; stoner metal; groove metal; ebm; drone,34,97275
Godsmack,alternative metal; nu metal; hard rock; rap metal; metal,66,3675398
Godspeed You! Black Emperor,,22,477657
Gogol Bordello,folk punk,47,388128
Gojira,progressive metal; groove metal; metal; death metal; djent,63,1778591
Goldfrapp,trip hop; electroclash; art pop,50,593970
Gomma,,25,24659
Gong,space rock; progressive rock; krautrock; psychedelic rock; art rock; jazz fusion; avant-garde; acid rock,32,115306
Good Charlotte,pop punk; punk; emo,64,2849264
Gorillaz,,82,14384146
Gospel Souls,gospel,30,10166
Gossip,riot grrrl; queercore,49,362841
Gost,synthwave; darkwave,36,79503
Gotan Project,tango; nu jazz,51,423558
Grails,post-rock; space rock; drone,27,46611
grandson,,63,1227124
Grateful Dead,jam band; psychedelic rock; acid rock,63,2032858
Grave Digger,power metal; speed metal; heavy metal; metal,35,163674
Gravity Kills,industrial rock; industrial; industrial metal; ebm,29,73234
Grayscale Season,metalcore; djent; shoegaze; deathcore,29,12024
Grazhdanskaya Oborona,noise rock; post-punk,43,188418
Green Day,punk; pop punk,80,17271809
Greta Van Fleet,rock,63,2760045
Grian Chatten,,48,76218
Gridlocks,lounge,19,558
Grima,black metal,32,50514
Grimes,art pop,66,2616929
Guano Apes,nu metal,52,388882
Guilt Machine,progressive metal; progressive rock,19,18335
Guns N' Roses,rock; glam metal; hard rock; classic rock,79,35070384
Guy Manning / Manning,progressive rock,0,45
H.E.A.T,aor; arena rock; hard rock; glam metal; glam rock,44,91663
Hacktivist,djent; rap metal; progressive metal; rap rock; metalcore; trap metal,30,61337
Haken,progressive metal; progressive rock; djent; metal,42,236532
Halestorm,,64,1628921
Halsey,,80,22362766
HammerFall,power metal; metal; speed metal; heavy metal; symphonic metal; folk metal,53,692545
Hammok,noise rock; norsk rock; mathcore; post-hardcore; screamo,7,2757
Hands Like Houses,post-hardcore; metalcore,46,285635
Harakiri for the Sky,black metal; melodic death metal; metal,37,121749
Haujobb,ebm; industrial; industrial rock; darkwave; cold wave; industrial metal; synthpop; idm,19,19412
Have A Nice Life,shoegaze; slowcore,53,501856
Havok,thrash metal; speed metal; groove metal; metal,38,200082
Hawkwind,space rock; progressive rock; krautrock; psychedelic rock; proto-punk; acid rock; hard rock; stoner rock; art rock,37,136702
Hayley Williams,art pop,71,956215
HEALTH,noise rock; witch house; industrial; industrial rock; industrial metal,56,316400
Heartworms,post-punk,32,28521
Hecq,idm; dark ambient; glitch; ambient; drone,14,11392
Helena Hauff,acid house; ebm; acid techno; cold wave,24,64287
Helloween,power metal; speed metal; heavy metal; metal; symphonic metal,59,1384099
Heretoir,black metal; post-rock; shoegaze,37,48799
Heriot,mathcore,30,30009
Hidden Orchestra,nu jazz; trip hop; downtempo,37,104273
High Vis,post-punk,44,69349
Highly Suspect,post-grunge,57,675107
HIM,gothic metal; gothic rock; finnish rock,63,1034196
HMLTD,art rock; post-punk,25,49009
Hocico,ebm; industrial; industrial metal; darkwave; gothic rock,39,102302
Hole,riot grrrl; grunge,60,1435324
Hollywood Undead,rap rock; rap metal,65,2495950
Holy Fawn,shoegaze; post-rock,33,64037
Holy Moses,thrash metal; speed metal; groove metal,12,20742
Hooverphonic,trip hop; downtempo,51,473856
Horse Lords,math rock; neo-psychedelic; krautrock; experimental,17,19348
House Of Lords,aor; arena rock; glam metal; hard rock; glam rock,27,51882
House of Protection,metalcore,45,73080
How To Destroy Angels,industrial rock; industrial,38,159032
HTRK,cold wave,35,44414
Huis,progressive rock; progressive metal; art rock,29,6631
Hurts,,58,364523
HVOB,,47,232490
Hypocrisy,melodic death metal; death metal; metal; black metal,40,212072
Hüsker Dü,hardcore punk; post-punk; punk; noise rock; post-hardcore; proto-punk,41,257095
I Am Kloot,,31,57728
I Am Waiting for You Last Summer,post-rock,28,26180
I Killed The Prom Queen,metalcore; deathcore; post-hardcore; screamo,36,109650
I Prevail,metalcore; metal,68,1855203
I See Stars,metalcore; post-hardcore; screamo; deathstep,53,503958
Iamthemorning,progressive rock; art rock; progressive metal,18,18556
IAMX,,49,225895
Ibaraki,,22,42120
Iced Earth,power metal; metal; heavy metal; thrash metal; speed metal,45,384054
IDLES,post-punk; punk; noise rock,57,834306
If I Were You,metalcore; post-hardcore; djent; deathcore,35,63717
If These Trees Could Talk,post-rock; math rock,36,152395
Iggy Pop,proto-punk; glam rock,64,1780781
Iglooghost,idm; glitch; hyperpop; experimental,38,111723
Igorrr,breakcore; avant-garde,52,295525
Ihsahn,progressive metal; black metal; avant-garde; metal; progressive rock,30,120878
Ill Considered,nu jazz; free jazz; indie jazz; jazz; jazz fusion,26,28835
Ill Niño,nu metal; rap metal; alternative metal; metal,47,513566
Imminence,metalcore; metal,56,387043
Impaled Nazarene,black metal; metal,31,96209
In Extremo,medieval metal; medieval; folk metal; folk rock,48,269936
In Flames,melodic death metal; metal; death metal; metalcore,60,1289869
In Gowan Ring,,22,16226
In Mourning,melodic death metal; progressive metal; death metal; doom metal,37,63602
In Slaughter Natives,dark ambient; industrial; neoclassical,6,6800
In Strict Confidence,ebm; industrial; darkwave; gothic rock; synthpop; industrial metal,29,39597
In The Woods...,black metal; doom metal; progressive metal; avant-garde; gothic metal,24,36267
In This Moment,metal,59,1435989
In Vain,melodic death metal; progressive metal; death metal,24,30710
Incubus,nu metal; funk rock; alternative metal; alternative rock,68,3631681
Infected Mushroom,psytrance; trance,52,790083
Inferi,melodic death metal; death metal; deathcore,29,53123
Inhaler,,57,504573
Inkubus Sukkubus,gothic rock; deathrock; darkwave; gothic metal; post-punk,31,49478
Insomnium,melodic death metal; death metal; metal; doom metal; folk metal,44,285148
Inter Arma,sludge metal; drone metal; doom metal; stoner metal; drone,16,31129
Interpol,indie rock; post-punk,61,1820840
Intervals,djent; progressive metal; math rock; progressive rock,44,221012
Intronaut,progressive metal; sludge metal; djent; stoner metal,22,69582
INXS,,68,3067995
IQ,progressive rock; progressive metal; art rock,36,42217
Iron Maiden,heavy metal; metal; hard rock; rock,71,10341635
Iron Savior,power metal; speed metal; heavy metal; metal; symphonic metal,32,90624
Isis,mexican rock; rock en español,40,32783
Iszoloscope,industrial; dark ambient; ebm; noise music; industrial rock; idm,7,5299
Ivanhoe,progressive metal; power metal; progressive rock,11,2602
Jack White,blues rock,54,1417782
Jakob,post-rock; space rock,24,17768
James Blake,,65,1546316
James Labrie,progressive metal; progressive rock,25,62604
Jamie xx,,59,944014
Jamiroquai,acid jazz; funk,69,2740594
Jane Air,nu metal,31,38614
Jane Remover,hyperpop,56,160053
Jane's Addiction,funk rock; grunge,53,1516275
Japanese Breakfast,,58,838182
Jean-Michel Jarre,new age; electronic; space music,52,655225
Jeff Beck,jazz fusion; blues rock; blues,53,833496
Jeff Loomis,progressive metal; djent; neoclassical,35,49422
Jerry Cantrell,grunge; post-grunge,43,340119
Jessica Pratt,ambient folk,54,169555
Jethro Tull,progressive rock; art rock; classic rock,56,1969823
Jimi Hendrix,psychedelic rock; classic rock; acid rock; blues rock,66,7351202
Jimi Tenor,,30,24970
Jimmy Eat World,emo; pop punk,65,1792822
Joan As Police Woman,,37,97408
Job For A Cowboy,deathcore; death metal; metal; metalcore,39,272188
Joe Satriani,,50,699788
John 5,,37,104809
John Coltrane,jazz; hard bop; free jazz; bebop; cool jazz; jazz blues,64,1819552
John Coltrane Quartet,jazz; cool jazz; hard bop; free jazz; bebop,53,239670
John Frusciante,,49,646201
John Glacier,experimental hip hop,46,45089
John Petrucci,progressive metal; progressive rock,39,235577
John Zorn,avant-garde; free jazz; experimental; jazz blues,32,92587
Jon Hopkins,idm; ambient,54,567593
Jon Oliva's Pain,progressive metal; power metal; heavy metal,18,21945
Jonathan Davis,,44,235363
Jonquera,,10,969
Jordan Rudess,progressive metal; progressive rock,35,72354
Jorn,power metal; norsk rock; hard rock; heavy metal; metal,46,96216
Journey,aor; classic rock,72,6480905
Joy Division,post-punk; new wave; gothic rock; darkwave; madchester; cold wave,62,2770990
Judas Priest,heavy metal; metal; hard rock; glam metal,64,4512491
Justice,french house; new rave,65,1395946
Ka,experimental hip hop; east coast hip hop; underground hip hop; alternative hip hop,41,85677
Kadavar,stoner rock; stoner metal; sludge metal; doom metal; space rock; psychedelic rock,39,141584
Kaipa,progressive rock; progressive metal; art rock,17,18945
KALEO,,70,2037602
Kalmah,melodic death metal; death metal; folk metal; metal,36,141969
Kamasi Washington,jazz,50,526967
Kamelot,power metal; symphonic metal; gothic metal; progressive metal; metal; speed metal; folk metal,47,409542
Kangding Ray,idm; glitch; dub techno; minimal techno,43,49615
Kansas,classic rock; progressive rock; aor,64,1924521
Kanye West,rap,88,30944275
Karate,slowcore; post-rock; post-hardcore,29,37813
Kardashev,deathcore; progressive metal; djent; synthwave,32,40020
Karmakanic,progressive rock; progressive metal; art rock,15,13687
Karnivool,progressive metal; progressive rock; alternative metal; djent,47,240108
Kasabian,britpop; indie; indie rock,60,1867856
Kassa Overall,jazz rap,34,33046
Kasta,,42,144879
Kataklysm,death metal; melodic death metal; metal; groove metal,42,200351
Katatonia,gothic metal; doom metal; progressive metal; progressive rock; metal,49,442437
Keane,,73,3906714
Kedr Livanskiy,,31,70028
Keep Of Kalessin,black metal; norsk rock; melodic death metal; metal,18,33857
Keith Jarrett,jazz,50,431220
Kelly Lee Owens,,43,148501
Ken Hensley,,22,28875
KEN Mode,noise rock; mathcore; sludge metal; post-hardcore; drone metal,18,30177
Kendrick Lamar,hip hop; west coast hip hop,89,44367055
Kendrick Scott,jazz,27,18871
Kenny Segal,experimental hip hop; jazz rap; alternative hip hop,44,40749
Kepler Ten,progressive rock; arena rock; progressive metal,6,1056
Khemmis,doom metal; stoner metal; sludge metal; stoner rock,29,62785
Kick Chill,noise rock; stoner rock,2,651
Kid Rock,,65,2986804
Killing Joke,post-punk; gothic rock; industrial rock; new wave; industrial metal; deathrock; darkwave; industrial; cold wave,46,373703
Killswitch Engage,metalcore; metal,62,2158725
Kim Gordon,noise rock,25,95539
King 810,,45,132896
King Crimson,progressive rock; art rock; psychedelic rock,54,1303842
King Diamond,heavy metal; metal; speed metal,42,524589
King Dude,southern gothic,33,73798
King Gizzard & The Lizard Wizard,neo-psychedelic; psychedelic rock,36,1318880
King Hannah,,38,58620
Kingcrow,progressive metal; progressive rock; djent,23,24236
Kingdom Come,glam metal; aor; hard rock; arena rock; glam rock,41,141600
Kings of Leon,,75,5746194
Kirlian Camera,ebm; darkwave; industrial; cold wave; synthpop; gothic rock; deathrock; hi-nrg,31,23514
KISS,glam rock; glam metal; hard rock; rock; classic rock,70,10940558
Kissin' Dynamite,glam metal; arena rock,42,68618
Klaus Schulze,krautrock; space music; ambient; space rock; new age; drone,36,102853
Klone,progressive metal; progressive rock; groove metal; djent,31,40345
KMFDM,industrial; industrial metal; industrial rock; ebm,57,473853
Knocked Loose,hardcore; metalcore; deathcore; hardcore punk,58,630008
Kobra And The Lotus,symphonic metal; power metal,26,56438
Komsomolsk,,37,146943
Korn,nu metal; metal; rap metal; alternative metal,75,9638297
Korol i Shut,horror punk,54,1846236
Kraftwerk,krautrock; neue deutsche welle; synthpop; electronic; new wave; electro,51,884879
Kraków Loves Adana,,18,9606
Kreator,thrash metal; speed metal; metal; groove metal; heavy metal,50,850850
Krematorij,,31,85084
Kvelertak,norsk rock; sludge metal,37,164981
KYPCK,doom metal; sludge metal; stoner metal,9,5842
KÁRYYN,experimental,12,11514
L'âme Immortelle,ebm; darkwave; industrial; gothic rock; gothic metal; medieval metal; industrial rock; industrial metal,29,54330
L.A. Guns,glam metal; glam rock; hard rock,43,471315
L.S. Dunes,post-hardcore,37,93128
La Dispute,post-hardcore; midwest emo; spoken word; melodic hardcore; screamo; emo,54,458522
La Femme,french indie pop; french pop; french house,56,604818
Lacrimas Profundere,gothic metal; gothic rock; doom metal; symphonic metal; drone metal,33,77431
Lacrimosa,gothic metal; symphonic metal; gothic rock; darkwave,45,287399
Lacuna Coil,gothic metal; symphonic metal; gothic rock; metal,52,770920
Lady Blackbird,retro soul,41,76805
Laibach,industrial; ebm; industrial metal; industrial rock; darkwave,33,100758
Laika,thai indie pop; thai pop; thai indie rock,23,49008
Lake Of Tears,gothic metal; doom metal; gothic rock,34,68575
Lamb,trip hop; downtempo,42,258264
Lamb of God,groove metal; metal; heavy metal; nu metal; death metal,61,2300051
Lana Del Rey,,88,51439037
Lane 8,melodic house; progressive house; deep house,58,457257
Lankum,folk; traditional folk; southern gothic; celtic,37,95244
Last in Line,hard rock,13,18373
LCD Soundsystem,alternative dance; new rave,59,1239306
Leaves' Eyes,symphonic metal; gothic metal; folk metal; power metal; gothic rock; metal,34,188728
Lebanon Hanover,darkwave; cold wave; post-punk; gothic rock; deathrock,54,529861
Led Zeppelin,classic rock; rock; hard rock; rock and roll,76,15934289
Lee Abraham,progressive rock; progressive metal; art rock,24,6252
Leftfield,big beat; trip hop; downtempo,45,243589
Lenny Kravitz,,70,3598435
Leprous,progressive metal; progressive rock; djent; metal,48,294660
Les Discrets,post-rock; shoegaze; black metal; doom metal,31,77875
Les Savy Fav,noise rock,25,38599
LESNIK,post-rock,1,271
Leæther Strip,ebm; industrial; industrial rock; industrial metal; darkwave; synthpop,29,31299
Liam Gallagher,britpop; madchester,56,1233001
Lightning Bolt,noise rock; math rock,28,99603
LIGHTS OUT ASIA,post-rock; ambient,19,13320
Limbonic Art,black metal; metal,18,45575
Limp Bizkit,nu metal; rap metal; alternative metal; rap rock,77,8080615
Linkin Park,nu metal; rap metal; rock; alternative metal,87,31627936
Liquid Divine,ebm; synthpop; industrial; darkwave,4,1946
Liquid Tension Experiment,progressive metal; progressive rock; djent,35,228013
Lisa Gerrard,soundtrack,63,208005
Lita Ford,glam metal; hard rock; glam rock,48,516975
Liv Kristine,gothic metal; symphonic metal; gothic rock,31,44889
Live,post-grunge; grunge,61,894023
Loathe,shoegaze,60,501475
Locrian,drone metal; drone; dark ambient; post-rock; sludge metal; doom metal,12,12646
London After Midnight,gothic rock; deathrock; darkwave; post-punk; gothic metal; cold wave,47,272060
London Brew,jazz funk; nu jazz,11,5320
London Grammar,,63,1641679
Lonely Guest,trip hop,24,6663
Lonely Robot,progressive rock; progressive metal,18,12702
Long Distance Calling,post-rock; progressive rock; progressive metal; space rock,30,82030
Lord Of The Lost,gothic metal; industrial metal; gothic rock; medieval metal; industrial rock; industrial,52,200852
Lorde,,79,10516785
Lords of Black,power metal; heavy metal; speed metal,20,21801
Lorna Shore,deathcore; death metal; metal; metalcore,62,893954
Loscil,drone; ambient; space music; dark ambient; idm,36,74406
Lost in Kiev,post-rock,19,20859
Lost Society,thrash metal; groove metal; metal,38,100388
Luigi Tozzi,dub techno; minimal techno; techno,25,21525
Lumen,,35,154113
Lunascape,trip hop; downtempo,11,5876
Lunatic Soul,progressive rock; progressive metal; art rock,36,86276
Lund Quartet,nu jazz; trip hop,31,16729
Lush,shoegaze; dream pop; britpop; slowcore,44,289465
Lustmord,dark ambient; drone; ambient,32,59547
Lykke Li,,67,1945900
M83,,69,2604372
Machinae Supremacy,power metal,35,67479
Machine Girl,breakcore; speedcore; jungle; hyperpop,56,663592
Machine Head,groove metal; metal; nu metal; thrash metal; hard rock; heavy metal,55,1416313
Machine Men,power metal; heavy metal,5,2251
Mad Season,grunge; post-grunge,49,692349
Madball,hardcore; hardcore punk,40,188996
Madonna,,77,8770911
Madrugada,norsk rock; norwegian pop,47,192506
Maeror Tri,dark ambient; drone; ambient; industrial,4,2418
Make Them Suffer,deathcore; metalcore; djent; metal,53,346802
Man With No Name,psytrance; trance,27,25719
"Mandy, Indiana",noise rock,19,20566
Manic Street Preachers,britpop,51,727564
Mantar,sludge metal; doom metal; stoner metal; black metal,26,35618
Manticora,power metal; progressive metal; speed metal,11,8206
Maps and Diagrams,drone; ambient; neoclassical; idm; dark ambient; space music,8,2136
Marduk,black metal; metal,37,284394
Marianne Faithfull,,50,238705
Maribou State,,64,485847
Marillion,progressive rock; art rock,55,531026
Marilyn Manson,industrial metal; industrial rock; industrial; metal; nu metal,70,4955276
Mark Guiliana,nu jazz; jazz; jazz fusion,35,41927
Mark Knopfler,soft rock,61,1722043
Marty Friedman,neoclassical,37,146413
Maruja,post-rock; art rock; noise rock; post-punk,46,75692
Massive Attack,trip hop; downtempo,68,2649400
Massive Wagons,,34,27657
MASTER BOOT RECORD,synthwave; industrial metal,38,91988
Masterplan,power metal; progressive metal; speed metal; symphonic metal; heavy metal; metal,39,120037
Mastodon,progressive metal; sludge metal; stoner metal; metal; groove metal; stoner rock,57,1037832
Matchbox Twenty,post-grunge,66,2684219
Max Richter,neoclassical; minimalism; classical; ambient,70,1134161
Maybeshewill,post-rock; math rock; djent,23,94899
Mazzy Star,dream pop; shoegaze; slowcore,70,1810581
Megadeth,thrash metal; metal; heavy metal; speed metal,68,6128891
Mekong Delta,thrash metal; progressive metal; speed metal,13,14830
Melotron,ebm; synthpop; industrial; darkwave,25,22042
Melt Yourself Down,,20,29617
Meltt,,54,80047
Melvins,sludge metal; grunge; stoner metal; stoner rock; drone metal; doom metal; noise rock; post-grunge,47,447654
Memphis May Fire,metalcore; post-hardcore; screamo,57,938573
Men I Trust,bedroom pop; indie pop,69,2316332
Meniscus,post-rock; math rock; space rock,29,20168
Mercyful Fate,heavy metal; metal; thrash metal; speed metal; black metal,40,369074
Merzbow,noise music; noise rock; drone; drone metal; experimental; free jazz; industrial; avant-garde; dark ambient,26,88153
Mesh,ebm; synthpop; industrial; darkwave,30,34332
Meshuggah,djent; progressive metal; groove metal; metal; death metal; mathcore,52,822585
Metal Church,thrash metal; speed metal; heavy metal; metal; power metal,41,240047
Metallica,metal; thrash metal; rock; heavy metal; hard rock,81,32041815
Metric,,61,917119
Metronomy,new rave; alternative dance,59,1102938
Metz,noise rock; post-punk,28,88155
MGMT,indie,72,3559503
Mick Jagger,,51,748166
Mick Jenkins,jazz rap,56,675352
Mike + The Mechanics,soft rock,57,751930
Mike Oldfield,progressive rock; new age,57,678252
Mike Patton,avant-garde,42,182641
Mike Portnoy,progressive metal; progressive rock,33,43744
Mike Shinoda,,53,603307
Miles Davis,jazz; cool jazz; hard bop; bebop; jazz fusion; free jazz; jazz blues,61,2730939
Militarie Gun,,42,52180
Mind.in.a.box,ebm; industrial; synthpop; darkwave,26,29304
Mindless Self Indulgence,,70,1598258
Ministry,industrial; industrial metal; industrial rock; ebm; darkwave; nu metal,49,583655
Minor Conflict,post-punk,3,1327
Misfits,horror punk; punk; psychobilly; hardcore punk; skate punk,62,1657324
Mitski,,78,10991025
Mlada Fronta,ebm; industrial; idm; synthwave; dark ambient,3,2529
Moby,downtempo; trip hop,67,2061069
Modeplex,melodic techno; melodic house; progressive house,17,7175
Moderat,idm; electronica,54,762309
Modern English,new wave; synthpop,46,220360
Modern Nature,krautrock; neo-psychedelic,26,11270
Modeselektor,idm,43,248158
Modest Mouse,indie rock; indie; alternative rock,62,1570105
Mogwai,post-rock; shoegaze,48,622469
Molchat Doma,post-punk; darkwave; cold wave; gothic rock,60,1575569
Moloko,trip hop,53,491821
Molotov,rock en español; mexican rock; latin rock; ska; latin alternative; mexican hip hop; latin hip hop,65,2484195
Monetochka,,56,1324160
Monika Kruse,techno; minimal techno,35,92421
Monika Roscher Bigband,progressive rock,22,29561
Monkey3,stoner rock; space rock; stoner metal; psychedelic rock; sludge metal; post-rock; drone metal; progressive rock,28,42098
MONO,post-rock; math rock,34,200582
Monolake,dub techno; idm; minimal techno; ambient; glitch,26,47454
Monolink,melodic techno; melodic house; techno,58,570038
Moon Safari,progressive rock; progressive metal,18,15005
Moonspell,gothic metal; doom metal; gothic rock; symphonic metal; metal; black metal,41,269088
Moor Mother,experimental hip hop; experimental; spoken word,31,52677
Morbid Angel,death metal; grindcore; metal; black metal,44,504986
Morcheeba,trip hop; downtempo,58,934782
Morokh,black metal,9,4716
Morphine,,48,398848
Morrissey,britpop; madchester; new wave; jangle pop,59,1233786
Mors Principium Est,melodic death metal; death metal; metal,43,107237
Mostly Autumn,progressive rock; art rock; progressive metal,28,25129
Mother of Millions,progressive metal; progressive rock,19,8994
Motion Trio,minimalism; tango,14,3968
Motionless In White,metalcore; metal; screamo,68,1991199
Motorama,post-punk; cold wave; darkwave,45,262296
Motorpsycho,norsk rock; progressive rock; stoner rock; space rock; psychedelic rock; art rock,29,55210
Motörhead,heavy metal; metal; speed metal; hard rock; rock,63,4470681
Mount Eerie,slowcore; anti-folk; indie folk,39,165674
Mouse On Mars,idm; glitch; krautrock,25,48540
Mouth Of The Architect,sludge metal; post-rock; stoner metal; doom metal; drone metal; drone,11,23915
Mr. Big,glam metal,57,704092
Mr. Bungle,avant-garde; funk rock,44,372509
Mujuice,,36,73880
Mullmuzzler,progressive metal; progressive rock,5,5873
Mumford & Sons,folk; indie folk; folk rock,72,6603246
Mumiy Troll,,46,329325
Muse,alternative rock; rock,75,8446473
