Artist,Album,Track,Year,Genre,Duration (min)
Nine Inch Nails,The Fragile,Just Like You Imagined,1999,Alternative/Industrial Rock,3.84
Lorde,Virgin,What Was That,2025,Pop,3.49
Coheed and Cambria,The Father of Make Believe,"Goodbye, Sunshine",2025,-,4.27
CLUSTERSUN,Surfacing to Breathe,Emotional Painkiller,2017,Alternative,5.21
The Young Gods,Appear Disappear,Shine that Drone,2025,Alternative/Industrial Rock,6.73
The Young Gods,Appear Disappear,Blackwater,2025,Alternative/Industrial Rock,5.76
Three Days Grace,Alienation,Kill Me Fast,2025,Rock,3.29
SPRINTS,All That Is Over,Something's Gonna Happen,2025,Alternative,4.36
Monolink,The Beauty of It All,Perfect World,2025,Electronica,4.03
Pavlov's Dog,Wonderlust,Another Blood Moon,2025,Rock,5.96
Coroner,Dissonance Theory,Consequence,2025,Metal,6.25
Tame Impala,Deadbeat,My Old Ways,2025,Alternative,4.98
Tame Impala,Deadbeat,Loser,2025,Alternative,3.72
Tame Impala,Deadbeat,Dracula,2025,Alternative,3.42
Shinedown,Searchlight - Single,Searchlight,2025,Rock,3.59
