Artist,Album,Track,Year,Genre,Duration (min)
Leftfield,Leftism (Remastered),Song of Life (Remastered),1995,Electronica,7.05
BT,ESCM,Flaming June,1997,Pop,8.42
deadmau5,For Lack Of A Better Album Title,Strobe,2009,Dance,10.57
