Artist,Album,Track,Year,Genre,Duration (min)
The Knife,Silent Shout,Silent Shout,2006,Electronic,4.89
Depeche Mode,Black Celebration (Deluxe Edition),Black Celebration,1986,Alternative,4.94
Gary Numan,Savage (Live at Brixton Academy),Are 'Friends' Electric? (Live at Brixton Academy),2018,Electronic,6.55
Depeche Mode,Violator (Deluxe),Halo,1990,Synthpop,4.50
Camouflage,Methods of Silence,Love Is a Shield,1989,Pop,4.73
TR/ST,Sulk - Single,Sulk,2012,Alternative,6.29
Black Marble,A Different Arrangement,A Great Design,2012,Alternative,4.51
Grimes,Visions,Oblivion,2012,Pop/Electropop,4.19
