Artist,Album,Track,Year,Genre,Duration (min)
Aphex Twin,Selected Ambient Works 85-92,Tha,1992,IDM/Ambient IDM,9.12
Biosphere,Patashnik,Novelty Waves,1994,Electronic,6.46
The Orb,The Orb's Adventures Beyond the Ultraworld,A Huge Ever Growing Pulsating Brain That Rules from the Centre of the Ultraworld (Live Mix Mark 10),1989,Electronic,18.81
Speedy J,Rise - EP (Remastered 2021),Rise (Remastered 2021),1991,Dance,9.80
Deepchord,Vantage Isle Sessions,Vantage Isle (cv313 Reduction),2008,Dance,5.27
Voices from The Lake,Voices from the Lake (2023 Edition),Circe + S.T. (VFTL Rework),2023,Dance,14.08
Function,Incubation,Voiceprint (Reprise),2013,Electronic,5.67
